,Hours_Australia,Hours_Austria,Hours_Canada,Hours_Finland,Hours_France,Hours_Germany,Hours_Ireland,Hours_Italy,Hours_Japan,Hours_Korea,Hours_Norway,Hours_Spain,Hours_Sweden,Hours_UK,Hours_US
03/31/60,,2072.065475,2138.57,2103.42,2196.435222,2185.01,2387.919116,2181.73,2177.12655,,2017.000956,,,,1933.58
06/30/60,,2074.702596,2133.55,2093.60,2198.696614,2194.12,2390.326727,2176.54,2181.42228,,2036.666587,,,,1942.13
09/30/60,,2070.488845,2135.93,2078.61,2196.264396,2181.96,2388.334954,2180.10,2174.426091,,2020.406793,,,,1944.14
12/31/60,,2067.343072,2131.24,2079.50,2187.898492,2176.27,2397.209357,2160.77,2181.336345,,2006.773148,,,,1928.32
03/31/61,,2063.132959,2112.57,2051.94,2175.428827,2171.10,2391.450848,2181.03,2181.709339,,2006.907302,,,,1924.91
06/30/61,,2058.349791,2106.44,2090.96,2171.291807,2163.18,2400.180419,2174.17,2171.427915,,2003.962558,,,,1915.45
09/30/61,,2058.143941,2110.65,2099.77,2169.598525,2154.52,2392.730796,2142.56,2186.286863,,2000.799504,,,,1921.09
12/31/61,,2052.944409,2113.13,2108.41,2174.821989,2144.41,2391.417799,2133.33,2182.907684,,2009.290417,,,,1926.49
03/31/62,,2048.814357,2110.06,2085.35,2184.888017,2138.29,2394.589144,2120.97,2187.03796,,1994.723975,,,,1936.07
06/30/62,,2048.616311,2110.77,2092.53,2186.376436,2126.42,2395.333688,2109.08,2166.451396,,2029.028839,,,,1947.11
09/30/62,,2043.143609,2114.01,2059.56,2187.152769,2114.64,2403.367483,2103.92,2142.739375,,1970.298425,,,,1946.54
12/31/62,,2039.967934,2099.90,2085.22,2188.821655,2101.63,2394.479254,2100.94,2137.877185,,1971.013351,,,,1938.51
03/31/63,,2037.962955,2102.34,2075.41,2171.152075,2090.21,2397.656273,2078.09,2129.068745,,1963.677231,,,,1932.59
06/30/63,,2034.901883,2099.09,2069.53,2168.985488,2088.92,2391.555954,2095.29,2149.045459,,2034.157584,,,,1934.41
09/30/63,,2031.420694,2092.94,2087.25,2170.161993,2086.16,2406.526418,2101.66,2163.501404,,1943.779338,,,,1926.12
12/31/63,,2028.230012,2080.07,2074.25,2172.827629,2095.51,2404.020632,2099.82,2164.418436,,1987.517815,,,,1926.93
03/31/64,,2024.814214,2087.88,2097.61,2177.817371,2097.68,2405.892771,2098.88,2159.682291,,2005.86215,,,,1927.98
06/30/64,,2021.241021,2088.75,2120.54,2182.947667,2104.65,2405.550393,2093.09,2167.71537,,2002.617937,,,,1938.82
09/30/64,,2018.235759,2082.01,2111.72,2182.67433,2102.03,2399.366275,2089.01,2156.980748,,1999.676037,,,,1935.91
12/31/64,,2016.195662,2071.58,2082.07,2175.750646,2100.50,2400.939546,2069.87,2153.737775,,1960.90098,,,,1941.44
03/31/65,,2012.05275,2072.90,2113.87,2169.029538,2103.73,2397.65771,2036.73,2152.983888,,1946.682639,,,,1957.56
06/30/65,,2008.023792,2066.47,2103.85,2166.799442,2085.84,2415.517433,2030.05,2134.614513,,1933.444144,,,,1956.18
09/30/65,,2006.15072,2060.19,2107.48,2165.577391,2081.79,2404.736103,2021.27,2137.441769,,1964.629221,,,,1952.09
12/31/65,,2006.232728,2058.29,2086.74,2165.692892,2077.42,2405.827446,2030.60,2136.880932,,1944.637989,,,,1958.60
03/31/66,,2002.465827,2049.05,2071.13,2165.269148,2072.35,2399.443713,2037.82,2143.980326,,1946.381977,,,,1971.60
06/30/66,,1997.734718,2032.96,2051.84,2163.178616,2062.98,2411.715415,2038.02,2147.481657,,1915.213882,,,,1966.51
09/30/66,,1993.721257,2032.41,2092.71,2159.4403,2060.37,2412.938271,2053.43,2150.366792,,1955.687279,,,,1960.89
12/31/66,,1990.511521,2034.89,2094.82,2151.162335,2048.91,2411.631,2061.46,2152.174466,,1976.103368,,,,1957.56
03/31/67,,1988.16519,2028.85,2050.63,2137.85584,2035.42,2411.054367,2079.57,2166.118776,,1967.881271,,,,1952.42
06/30/67,,1984.04676,2028.47,2074.34,2127.479623,2019.25,2408.80196,2070.78,2160.3533,,1972.395513,,,,1938.68
09/30/67,,1981.91815,2028.51,2039.95,2122.625173,2020.14,2413.624334,2061.59,2162.079364,,1882.481594,,,,1940.28
12/31/67,,1978.274333,2023.28,2076.60,2118.859399,2017.59,2414.237446,2078.85,2161.595547,,1906.747911,,,,1936.84
03/31/68,,1971.12089,2007.24,2067.52,2120.39558,2014.92,2412.458953,2062.03,2159.417345,,1936.444425,,,,1934.41
06/30/68,,1970.11359,2007.84,2035.36,2114.521539,2014.37,2412.124399,2063.26,2178.3158,,1902.752118,,,,1936.24
09/30/68,,1972.336154,2002.02,2031.87,2099.675299,2009.10,2414.808718,2064.73,2164.153796,,1866.157631,,,,1942.91
12/31/68,,1970.807134,1995.51,2041.85,2080.06706,2005.92,2420.315745,2076.77,2160.290848,,1868.444086,,,,1938.61
03/31/69,,1971.218613,1994.79,2034.79,2054.618956,2001.63,2421.449454,2070.23,2147.047314,,1854.675308,,,,1945.87
06/30/69,,1969.130565,1988.67,2087.95,2033.883489,1998.88,2423.817236,2078.94,2160.603755,,1860.798274,,,,1940.79
09/30/69,,1955.332154,1984.63,1997.31,2018.326996,1987.11,2410.562459,2073.87,2156.454283,,1840.744939,,,,1939.84
12/31/69,,1940.669768,1968.13,1979.43,2011.313466,1976.57,2415.868373,2035.73,2145.938959,,1825.939087,,,,1929.69
03/31/70,2066.69,1923.283573,1975.66,2034.74,2009.147836,1974.98,2424.539429,2055.97,2145.674756,2396.639058,1763.360287,,,,1910.32
06/30/70,2070.64,1907.84543,1970.08,1945.63,2008.260204,1985.84,2424.210716,2053.04,2142.544187,2400.465561,1859.093334,,,,1898.55
09/30/70,2070.07,1884.74434,1965.64,2018.13,2010.592893,1970.72,2419.152776,2038.63,2143.878199,2414.026663,1901.880066,,,,1885.67
12/31/70,2061.22,1888.348868,1952.48,2036.06,2014.00934,1972.56,2415.78431,2027.07,2137.844494,2422.587062,1801.928731,,,,1885.01
03/31/71,2053.36,1890.524864,1949.62,1972.90,2017.583919,1947.96,2408.460618,2012.19,2140.873416,2436.221065,1829.118023,,,1825.75,1881.71
06/30/71,2050.18,1891.932808,1953.00,1964.24,2016.109573,1953.95,2402.9106,1990.53,2136.272026,2448.989432,1793.670994,,,1825.16,1881.07
09/30/71,2044.21,1895.772561,1951.97,1998.30,2008.678627,1946.39,2406.067328,1987.66,2119.328738,2483.230463,1802.909906,,,1827.89,1877.58
12/31/71,2040.91,1905.980867,1948.96,1957.09,1995.631175,1927.61,2398.307008,1976.15,2141.385316,2505.320199,1812.728196,,,1833.68,1874.95
03/31/72,2038.29,1915.492947,1930.58,1979.87,1974.821102,1922.88,2390.608777,1985.83,2129.990914,2523.651119,1772.472224,,,1841.06,1883.44
06/30/72,2025.41,1920.017799,1933.64,1970.53,1958.502248,1923.12,2384.99412,1976.83,2126.959855,2516.478292,1794.263808,,,1847.65,1878.87
09/30/72,2018.72,1919.622861,1935.63,1939.31,1948.395432,1917.07,2379.092707,1971.85,2142.460274,2529.606468,1764.101267,,,1852.23,1875.48
12/31/72,2018.27,1909.121938,1935.36,1937.91,1943.914534,1908.67,2377.121996,1955.97,2150.479255,2544.068095,1775.836871,,,1855.44,1869.49
03/31/73,2012.45,1895.24575,1927.99,1972.45,1945.44074,1897.88,2382.396037,1962.88,2145.828735,2557.561197,1776.610472,,,1857.58,1874.12
06/30/73,2007.45,1898.284845,1924.22,1947.95,1944.171794,1890.15,2374.430742,1943.62,2135.240454,2569.126132,1756.465036,,,1858.83,1877.98
09/30/73,2008.46,1913.17031,1919.51,1908.05,1939.566382,1889.00,2361.404172,1955.05,2113.750918,2570.914749,1763.224062,,,1858.79,1881.26
12/31/73,2016.35,1937.543529,1923.29,1934.24,1932.342708,1874.53,2361.631248,1964.87,2098.926447,2592.233296,1754.479411,,,1857.16,1869.91
03/31/74,2023.30,1976.671426,1924.01,1960.20,1922.864778,1873.07,2349.329161,1943.15,2088.514504,2616.19227,1744.809005,,1628.12914,1853.46,1861.36
06/30/74,2033.55,1996.818755,1913.52,1956.32,1914.384328,1861.94,2338.199877,1930.84,2066.271323,2635.777316,1738.892372,,1631.066898,1847.98,1849.32
09/30/74,2035.98,2003.721593,1903.00,1960.23,1905.572573,1856.67,2327.342602,1923.26,2062.594794,2625.05564,1743.569209,,1625.888415,1840.18,1846.18
12/31/74,2023.84,1983.208214,1894.16,1861.60,1894.483544,1827.68,2317.117499,1905.06,2039.760151,2612.845827,1739.66561,,1616.485672,1830.79,1838.02
03/31/75,2018.93,1948.360973,1891.52,1931.02,1882.554008,1827.83,2319.185915,1915.79,2024.25695,2620.603744,1692.918775,,1606.629997,1822.23,1820.02
06/30/75,2018.29,1923.254965,1886.08,1907.00,1878.286051,1808.57,2324.890066,1902.70,2038.195988,2632.598931,1742.340011,,1596.37716,1813.84,1814.90
09/30/75,2012.88,1894.943736,1880.21,1933.14,1881.227822,1810.65,2324.943145,1907.16,2040.566535,2645.083519,1754.590283,,1603.865791,1808.24,1812.51
12/31/75,2010.61,1893.693648,1872.36,1934.72,1891.055843,1812.06,2319.007751,1916.61,2037.823542,2671.599131,1709.214396,,1598.555658,1804.23,1818.98
03/31/76,2017.12,1898.031885,1866.04,1931.38,1907.168583,1821.81,2311.642595,1894.68,2048.041628,2707.564433,1714.761461,,1607.433899,1802.35,1819.74
06/30/76,2028.62,1906.450498,1862.69,1927.71,1914.231856,1827.67,2318.779873,1907.82,2061.958181,2720.081186,1649.994089,,1616.617622,1803.06,1810.25
09/30/76,2033.96,1911.582657,1850.25,1904.56,1912.525416,1830.45,2321.08433,1921.08,2066.137942,2735.701069,1658.726988,,1608.972229,1805.77,1808.08
12/31/76,2024.98,1920.174949,1838.61,1930.06,1903.379368,1827.25,2316.537233,1906.67,2072.982485,2726.595724,1659.985194,,1608.457928,1809.39,1812.28
03/31/77,2024.11,1927.951906,1823.52,1923.93,1887.830632,1818.19,2296.29917,1896.40,2074.855465,2694.13517,1648.090333,,1601.631182,1812.97,1806.84
06/30/77,2028.53,1924.253398,1841.49,1906.21,1874.933915,1809.36,2286.943225,1883.89,2064.177125,2687.874886,1643.081436,,1584.800445,1815.37,1814.95
